,vfid,vfacc,vf_full_name,vf_pathogen,vf_short_name,vf_category
24,VFG002236,YP_034056,15-kDa antigen protein VirB7 ,Bartonella henselae str. Houston-1,virB7,VirB/VirD4 type IV secretion system (VF0369) 
25,VFG002237,YP_034057,type IV secretion system virB8 protein homolog ,Bartonella henselae str. Houston-1,virB8,VirB/VirD4 type IV secretion system (VF0369) 
26,VFG002238,YP_034058,type IV secretion system virB9 protein homolog ,Bartonella henselae str. Houston-1,virB9,VirB/VirD4 type IV secretion system (VF0369) 
27,VFG002239,YP_034059,type IV secretion system virB10 protein homolog ,Bartonella henselae str. Houston-1,virB10,VirB/VirD4 type IV secretion system (VF0369) 
28,VFG002240,YP_034060,type IV secretion system virB11 protein homolog ,Bartonella henselae str. Houston-1,virB11,VirB/VirD4 type IV secretion system (VF0369) 
29,VFG002241,YP_034062,Bartonella effector protein BepA ,Bartonella henselae str. Houston-1,bepA,VirB/VirD4 type IV secretion system (VF0369) 
30,VFG002242,YP_034063,"VirD4, type IV coupling protein ",Bartonella henselae str. Houston-1,virD4,VirB/VirD4 type IV secretion system (VF0369) 
31,VFG002243,YP_034064,Bartonella effector protein BepB ,Bartonella henselae str. Houston-1,bepB,VirB/VirD4 type IV secretion system (VF0369) 
32,VFG002244,YP_034065,Bartonella effector protein BepC ,Bartonella henselae str. Houston-1,bepC,VirB/VirD4 type IV secretion system (VF0369) 
33,VFG002245,YP_034066,Bartonella effector protein BepD ,Bartonella henselae str. Houston-1,bepD,VirB/VirD4 type IV secretion system (VF0369) 
34,VFG002246,YP_034067,Bartonella effector protein BepE ,Bartonella henselae str. Houston-1,bepE,VirB/VirD4 type IV secretion system (VF0369) 
35,VFG002247,YP_034068,Bartonella effector protein BepF ,Bartonella henselae str. Houston-1,bepF,VirB/VirD4 type IV secretion system (VF0369) 
36,VFG002248,YP_034069,Bartonella effector protein BepG ,Bartonella henselae str. Houston-1,bepG,VirB/VirD4 type IV secretion system (VF0369) 
37,VFG002249,YP_034251,Trw type IV secretion sysmtem trwN protein ,Bartonella henselae str. Houston-1,trwN,Trw type IV secretion system (VF0372) 
38,VFG002250,YP_034253,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL1 protein ",Bartonella henselae str. Houston-1,trwL1,Trw type IV secretion system (VF0372) 
39,VFG002251,YP_034254,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL2 protein ",Bartonella henselae str. Houston-1,trwL2,Trw type IV secretion system (VF0372) 
40,VFG002252,YP_034255,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL3 protein ",Bartonella henselae str. Houston-1,trwL3,Trw type IV secretion system (VF0372) 
41,VFG002253,YP_034256,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL4 protein ",Bartonella henselae str. Houston-1,trwL4,Trw type IV secretion system (VF0372) 
42,VFG002254,YP_034257,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL5 protein ",Bartonella henselae str. Houston-1,trwL5,Trw type IV secretion system (VF0372) 
43,VFG002255,YP_034258,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL6 protein ",Bartonella henselae str. Houston-1,trwL6,Trw type IV secretion system (VF0372) 
44,VFG002256,YP_034259,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL7 protein ",Bartonella henselae str. Houston-1,trwL7,Trw type IV secretion system (VF0372) 
45,VFG002257,YP_034260,"Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL8 protein ",Bartonella henselae str. Houston-1,trwL8,Trw type IV secretion system (VF0372) 
46,VFG002258,YP_034261,Trw type IV secretion sysmtem trwM protein ,Bartonella henselae str. Houston-1,trwM,Trw type IV secretion system (VF0372) 
47,VFG002259,YP_034262,Trw type IV secretion sysmtem VirB4-like trwK protein ,Bartonella henselae str. Houston-1,trwK,Trw type IV secretion system (VF0372) 
48,VFG002260,YP_034263,"Trw type IV secretion sysmtem minor pilin subunit VirB5 homolog, trwJ1 protein ",Bartonella henselae str. Houston-1,trwJ1,Trw type IV secretion system (VF0372) 
49,VFG002261,YP_034264,Trw type IV secretion sysmtem trwI1 protein required for pilus elongation ,Bartonella henselae str. Houston-1,trwI1,Trw type IV secretion system (VF0372) 
50,VFG002262,YP_034265,Trw type IV secretion sysmtem trwH1 protein required for pilus anchorage to the outer membrane ,Bartonella henselae str. Houston-1,trwH1,Trw type IV secretion system (VF0372) 
51,VFG002263,YP_034266,"Trw type IV secretion sysmtem minor pilin subunit VirB5 homolog, trwJ2 protein ",Bartonella henselae str. Houston-1,trwJ2,Trw type IV secretion system (VF0372) 
52,VFG002264,YP_034267,Trw type IV secretion sysmtem trwI2 protein required for pilus elongation ,Bartonella henselae str. Houston-1,trwI2,Trw type IV secretion system (VF0372) 
53,VFG002265,YP_034268,Trw type IV secretion sysmtem trwH2 protein required for pilus anchorage to the outer membrane ,Bartonella henselae str. Houston-1,trwH2,Trw type IV secretion system (VF0372) 
54,VFG002266,YP_034269,"Trw type IV secretion sysmtem VirB8 homolog, trwG protein ",Bartonella henselae str. Houston-1,trwG,Trw type IV secretion system (VF0372) 
55,VFG002267,YP_034270,"Trw type IV secretion sysmtem VirB9 homolog, trwF protein ",Bartonella henselae str. Houston-1,trwF,Trw type IV secretion system (VF0372) 
56,VFG002268,YP_034271,"Trw type IV secretion sysmtem VirB10 homolog, trwE protein ",Bartonella henselae str. Houston-1,trwE,Trw type IV secretion system (VF0372) 
57,VFG002269,YP_034272,"Trw type IV secretion sysmtem VirB11 homolog, trwD protein ",Bartonella henselae str. Houston-1,trwD,Trw type IV secretion system (VF0372) 
58,VFG002270,YP_033006,Surface protein/Bartonella adhesin BadA ,Bartonella henselae str. Houston-1,badA,BadA/Vomp (VF0371) 
59,VFG002271,YP_031852,Surface protein/Bartonella adhesin VompD ,Bartonella quintana str. Toulouse,badA/vomp/brp,BadA/Vomp (VF0371) 
60,VFG002272,YP_031853,Surface protein/Bartonella adhesin VompA ,Bartonella quintana str. Toulouse,badA/vomp/brp,BadA/Vomp (VF0371) 
61,VFG002273,YP_031854,Surface protein/Bartonella adhesin VompC ,Bartonella quintana str. Toulouse,badA/vomp/brp,BadA/Vomp (VF0371) 
62,VFG016667,YP_033004,Surface protein/Bartonella adhesin BadA-like ,Bartonella henselae str. Houston-1,badA/vomp/brp,BadA (SS156) 
63,VFG000001,NP_880571,filamentous hemagglutinin/adhesin ,Bordetella pertussis Tohama I,fhaB,FHA (VF0025) 
64,VFG000002,NP_879839,pertactin precursor ,Bordetella pertussis Tohama I,prn,Pertactin (VF0027) 
65,VFG000003,NP_879898,serotype 2 fimbrial subunit precursor ,Bordetella pertussis Tohama I,fim2,Fimbriae (VF0031) 
66,VFG000004,NP_880302,serotype 3 fimbrial subunit precursor ,Bordetella pertussis Tohama I,fim3,Fimbriae (VF0031) 
67,VFG000005,NP_881287,fimbrial protein ,Bordetella pertussis Tohama I,fimX,Fimbriae (VF0031) 
68,VFG000007,NP_880572,chaperone protein ,Bordetella pertussis Tohama I,fimB,Fimbriae (VF0031) 
69,VFG000008,NP_880573,outer membrane usher protein precursor ,Bordetella pertussis Tohama I,fimC,Fimbriae (VF0031) 
70,VFG000009,NP_880574,fimbrial adhesin ,Bordetella pertussis Tohama I,fimD,Fimbriae (VF0031) 
71,VFG000010,NP_879974,tracheal colonization factor precursor ,Bordetella pertussis Tohama I,tcfA,TcfA (VF0032) 
72,VFG000011,NP_882282,pertussis toxin subunit 1 precursor ,Bordetella pertussis Tohama I,ptxA,Ptx (VF0026) 
73,VFG000012,NP_882283,pertussis toxin subunit 2 precursor ,Bordetella pertussis Tohama I,ptxB,Ptx (VF0026) 
74,VFG000013,NP_882284,pertussis toxin subunit 4 precursor ,Bordetella pertussis Tohama I,ptxD,Ptx (VF0026) 
75,VFG000014,NP_882285,pertussis toxin subunit 5 precursor ,Bordetella pertussis Tohama I,ptxE,Ptx (VF0026) 
76,VFG000015,NP_882286,pertussis toxin subunit 3 precursor ,Bordetella pertussis Tohama I,ptxC,Ptx (VF0026) 
77,VFG000016,NP_882287,Ptl Type IV secretion system VirB2 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlA,Ptx (VF0026) 
78,VFG000017,NP_882288,Ptl Type IV secretion system VirB3 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlB,Ptx (VF0026) 
79,VFG000018,NP_882289,Ptl Type IV secretion system VirB4 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlC,Ptx (VF0026) 
80,VFG000019,NP_882290,Ptl Type IV secretion system VirB6 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlD,Ptx (VF0026) 
81,VFG000020,NP_882291,Ptl Type IV secretion system outer membrane complex protein PtlI ,Bordetella pertussis Tohama I,ptlI,Ptx (VF0026) 
82,VFG000021,NP_882292,Ptl Type IV secretion system VirB8 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlE,Ptx (VF0026) 
83,VFG000022,NP_882293,Ptl Type IV secretion system outer membrane complex protein PtlF ,Bordetella pertussis Tohama I,ptlF,Ptx (VF0026) 
84,VFG000023,NP_882294,Ptl Type IV secretion system VirB10 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlG,Ptx (VF0026) 
85,VFG000024,NP_882295,Ptl Type IV secretion system VirB11 homolog protein PtlA ,Bordetella pertussis Tohama I,ptlH,Ptx (VF0026) 
86,VFG000025,NP_879578,bifunctional hemolysin-adenylate cyclase precursor ,Bordetella pertussis Tohama I,cyaA,Cya (VF0028) 
87,VFG000026,NP_881965,dermonecrotic toxin ,Bordetella pertussis Tohama I,dnt,Dnt (VF0029) 
88,VFG000027,NP_882013,serum resistance protein ,Bordetella pertussis Tohama I,brkA,Brk (VF0034) 
89,VFG000028,NP_882012,serum resistance protein ,Bordetella pertussis Tohama I,brkB,Brk (VF0034) 
90,VFG000029,NP_878986,lipopolysaccharide biosynthesis protein ,Bordetella pertussis Tohama I,bplL,LPS (VF0033) 
91,VFG000030,NP_878987,lipopolysaccharide biosynthesis protein ,Bordetella pertussis Tohama I,bplI,LPS (VF0033) 
92,VFG000031,NP_878988,putative glycosyl transferase ,Bordetella pertussis Tohama I,bplH,LPS (VF0033) 
93,VFG000032,NP_878989,probable sugar transferase ,Bordetella pertussis Tohama I,bplG,LPS (VF0033) 
94,VFG000033,NP_878990,lipopolysaccharide biosynthesis protein ,Bordetella pertussis Tohama I,bplF,LPS (VF0033) 
95,VFG000034,NP_878991,probable glycosyl transferase ,Bordetella pertussis Tohama I,bplE,LPS (VF0033) 
96,VFG000035,NP_878992,UDP-N-acetylglucosamine 2-epimerase ,Bordetella pertussis Tohama I,bplD,LPS (VF0033) 
97,VFG000036,NP_878993,lipopolysaccharide biosynthesis protein ,Bordetella pertussis Tohama I,bplC,LPS (VF0033) 
98,VFG000037,NP_878994,probable acetyltransferase ,Bordetella pertussis Tohama I,bplB,LPS (VF0033) 
99,VFG000038,NP_878995,probable oxidoreductase ,Bordetella pertussis Tohama I,bplA,LPS (VF0033) 
100,VFG000039,NP_880879,Bordetella Bsc type III secretion system protein BscC ,Bordetella pertussis Tohama I,bscC,TTSS (VF0035) 
101,VFG000040,NP_880880,Bordetella Bsc type III secretion system protein BscW ,Bordetella pertussis Tohama I,bscW,TTSS (VF0035) 
102,VFG000041,NP_880881,Bordetella Bsc type III secretion system protein BscU ,Bordetella pertussis Tohama I,bscU,TTSS (VF0035) 
103,VFG000042,NP_880882,Bordetella Bsc type III secretion system protein BscT ,Bordetella pertussis Tohama I,bscT,TTSS (VF0035) 
104,VFG000043,NP_880883,Bordetella Bsc type III secretion system protein BscS ,Bordetella pertussis Tohama I,bscS,TTSS (VF0035) 
105,VFG000044,NP_880884,Bordetella Bsc type III secretion system protein BscR ,Bordetella pertussis Tohama I,bscR,TTSS (VF0035) 
106,VFG000045,NP_880885,Bordetella Bsc type III secretion system protein BscQ ,Bordetella pertussis Tohama I,bscQ,TTSS (VF0035) 
107,VFG000046,NP_880886,Bordetella Bsc type III secretion system protein BscP ,Bordetella pertussis Tohama I,bscP,TTSS (VF0035) 
108,VFG000047,NP_880887,Bordetella Bsc type III secretion system protein BscO ,Bordetella pertussis Tohama I,bscO,TTSS (VF0035) 
109,VFG000048,NP_880888,ATP synthase in type III secretion system ,Bordetella pertussis Tohama I,bscN,TTSS (VF0035) 
110,VFG000049,NP_880889,Bordetella Bsc type III secretion system protein BscL ,Bordetella pertussis Tohama I,bscL,TTSS (VF0035) 
111,VFG000050,NP_880890,Bordetella Bsc type III secretion system protein BscK ,Bordetella pertussis Tohama I,bscK,TTSS (VF0035) 
112,VFG000051,NP_880891,Bordetella Bsc type III secretion system protein BscJ ,Bordetella pertussis Tohama I,bscJ,TTSS (VF0035) 
113,VFG000052,NP_880892,Bordetella Bsc type III secretion system protein BscI ,Bordetella pertussis Tohama I,bscI,TTSS (VF0035) 
114,VFG000053,NP_880893,Bordetella Bsc type III secretion system protein Bcr4 ,Bordetella pertussis Tohama I,bcr4,TTSS (VF0035) 
115,VFG000054,NP_880894,putative regulatory protein ,Bordetella pertussis Tohama I,bcrH2,TTSS (VF0035) 
116,VFG000055,NP_880895,"Bordetella Bsc type III secretion system secreted protein BopB, complexed with BopB for pore formation on the host plasma membrane ",Bordetella pertussis Tohama I,bopB,TTSS (VF0035) 
117,VFG000056,NP_880896,"Bordetella Bsc type III secretion system secreted protein BopD, complexed with BopD for pore formation on the host plasma membrane ",Bordetella pertussis Tohama I,bopD,TTSS (VF0035) 
118,VFG000057,NP_880897,putative regulatory protein ,Bordetella pertussis Tohama I,bcrH1,TTSS (VF0035) 
119,VFG000058,NP_880898,chaperone for Bsp22 ,Bordetella pertussis Tohama I,btc22,TTSS (VF0035) 
120,VFG000059,NP_880899,"Bordetella Bsc type III secretion system secreted protein Bsp22, tip complex protein ",Bordetella pertussis Tohama I,bsp22,TTSS (VF0035) 
121,VFG000060,NP_880900,Bordetella Bsc type III secretion system secreted protein BopN ,Bordetella pertussis Tohama I,bopN,TTSS (VF0035) 
122,VFG000064,NP_880904,Type III secretion system LcrD homolog protein BcrD ,Bordetella pertussis Tohama I,bcrD,TTSS (VF0035) 
123,VFG000065,NP_880905,putative type III secretion protein ,Bordetella pertussis Tohama I,bscD,TTSS (VF0035) 
124,VFG000066,NP_880906,Bordetella Bsc type III secretion system protein BscE ,Bordetella pertussis Tohama I,bscE,TTSS (VF0035) 
125,VFG000067,NP_880907,putative type III secretion protein ,Bordetella pertussis Tohama I,bscF,TTSS (VF0035) 
126,VFG000158,NP_879577,cyclolysin-activating lysine-acyltransferase ,Bordetella pertussis Tohama I,cyaC,Cya (VF0028) 
127,VFG001269,NP_879579,cyclolysin secretion ATP-binding protein ,Bordetella pertussis Tohama I,cyaB,Cya (VF0028) 
128,VFG001270,NP_879580,cyclolysin secretion protein ,Bordetella pertussis Tohama I,cyaD,Cya (VF0028) 
129,VFG001271,NP_879581,cyclolysin secretion protein ,Bordetella pertussis Tohama I,cyaE,Cya (VF0028) 
130,VFG001272,NP_880575,hemolysin activator-like protein ,Bordetella pertussis Tohama I,fhaC,FHA (VF0025) 
131,VFG011087,NP_879352,Bordetella Bsc type III secretion system secreted protein BteA ,Bordetella pertussis Tohama I,bopC/bteA,T3SS (SS038) 
132,VFG042070,NP_880877,Bordetella Bsc type III secretion system secreted regulator ,Bordetella pertussis Tohama I,btrU/bspR,T3SS (SS038) 
133,VFG042075,NP_879351,chaperone for BteA ,Bordetella pertussis Tohama I,btcA,T3SS (SS038) 
134,VFG046121,NP_881344.1,autotransporter BapC ,Bordetella pertussis Tohama I,bapC,BapC (VF0537) 
135,VFG002208,NP_541002,type IV secretion system attachment mediating protein VirB1 Homolog ,Brucella melitensis bv. 1 str. 16M,virB1,VirB type IV secretion system (VF0365) 
136,VFG002209,NP_541003,type IV secretion system protein VirB2 ,Brucella melitensis bv. 1 str. 16M,virB2,VirB type IV secretion system (VF0365) 
137,VFG002210,NP_541004,type IV secretion system protein VirB3 ,Brucella melitensis bv. 1 str. 16M,virB3,VirB type IV secretion system (VF0365) 
138,VFG002211,NP_541005,type IV secretion system protein ATPase VirB4 ,Brucella melitensis bv. 1 str. 16M,virB4,VirB type IV secretion system (VF0365) 
139,VFG002212,NP_541006,type IV secretion system protein VirB5 ,Brucella melitensis bv. 1 str. 16M,virB5,VirB type IV secretion system (VF0365) 
140,VFG002213,NP_541007,type IV secretion system channel protein VirB6 ,Brucella melitensis bv. 1 str. 16M,virB6,VirB type IV secretion system (VF0365) 
141,VFG002214,NP_541008,type IV secretion system protein VirB7 ,Brucella melitensis bv. 1 str. 16M,virB7,VirB type IV secretion system (VF0365) 
142,VFG002215,NP_541009,type IV secretion system protein VirB8 ,Brucella melitensis bv. 1 str. 16M,virB8,VirB type IV secretion system (VF0365) 
143,VFG002216,NP_541010,type IV secretion system channel protein VirB9 ,Brucella melitensis bv. 1 str. 16M,virB9,VirB type IV secretion system (VF0365) 
144,VFG002217,NP_541011,type IV secretion system channel protein VirB10 ,Brucella melitensis bv. 1 str. 16M,virB10,VirB type IV secretion system (VF0365) 
145,VFG002218,NP_541012,type IV secretion system protein ATPase VirB11 ,Brucella melitensis bv. 1 str. 16M,virB11,VirB type IV secretion system (VF0365) 
146,VFG002219,NP_540754,cyclic beta 1-2 glucan synthetase ,Brucella melitensis bv. 1 str. 16M,cgs,C<beta>G (VF0366) 
147,VFG002220,NP_540803,phosphoglucomutase ,Brucella melitensis bv. 1 str. 16M,pgm,LPS (VF0367) 
148,VFG002221,NP_540311,mannose-6-phosphate isomerase ,Brucella melitensis bv. 1 str. 16M,manAoAg,LPS (VF0367) 
149,VFG002222,NP_540312,mannose-1-phosphate guanylyltransferase ,Brucella melitensis bv. 1 str. 16M,manCoAg,LPS (VF0367) 
150,VFG002223,NP_540313,phosphomannomutase ,Brucella melitensis bv. 1 str. 16M,pmm,LPS (VF0367) 
151,VFG002224,NP_540321,mannosyltransferase ,Brucella melitensis bv. 1 str. 16M,wbkA,LPS (VF0367) 
152,VFG002225,NP_540330,"GDP-mannose 4,6-dehydratase ",Brucella melitensis bv. 1 str. 16M,gmd,LPS (VF0367) 
153,VFG002226,NP_540331,perosamine synthetase ,Brucella melitensis bv. 1 str. 16M,per,LPS (VF0367) 
154,VFG002227,NP_540332,O-antigen export system permease protein ,Brucella melitensis bv. 1 str. 16M,wzm,LPS (VF0367) 
155,VFG002228,NP_540333,O-antigen export system ATP-binding protein ,Brucella melitensis bv. 1 str. 16M,wzt,LPS (VF0367) 
156,VFG002229,NP_540334,perosamine synthetase WbkB ,Brucella melitensis bv. 1 str. 16M,wbkB,LPS (VF0367) 
157,VFG002230,NP_540335,"GDP-mannose 4,6-dehydratase / GDP-4-amino-4,6-dideoxy-D-mannose formyltransferase ",Brucella melitensis bv. 1 str. 16M,wbkC,LPS (VF0367) 
158,VFG011389,NP_539503,UDP-3-O-,LPS (CVF383) ,lpxC,3-hydroxymyristoyl N-acetylglucosamine deacetylase 
159,VFG011394,NP_539748,UDP-3-O-,LPS (CVF383) ,lpxD,3-hydroxymyristoyl glucosamine N-acyltransferase 
160,VFG011399,NP_539749,(3R)-hydroxymyristoyl ACP dehydratase ,Brucella melitensis bv. 1 str. 16M,fabZ,LPS (CVF383) 
161,VFG011404,NP_539750,UDP-N-acetylglucosamine acyltransferase ,Brucella melitensis bv. 1 str. 16M,lpxA,LPS (CVF383) 
162,VFG011409,NP_539752,lipid-A-disaccharide synthase ,Brucella melitensis bv. 1 str. 16M,lpxB,LPS (CVF383) 
163,VFG011414,NP_539767,2-dehydro-3-deoxyphosphooctonate aldolase ,Brucella melitensis bv. 1 str. 16M,kdsA,LPS (CVF383) 
164,VFG011419,NP_540032,lipid A biosynthesis lauroyl acyltransferase ,Brucella melitensis bv. 1 str. 16M,htrB,LPS (CVF383) 
165,VFG011424,NP_540821,3-deoxy-manno-octulosonate cytidylyltransferase ,Brucella melitensis bv. 1 str. 16M,kdsB,LPS (CVF383) 
166,VFG011429,NP_540028,acyl carrier protein ,Brucella melitensis bv. 1 str. 16M,acpXL,LPS (CVF383) 
167,VFG011430,NP_540392,acyl carrier protein ,Brucella melitensis bv. 1 str. 16M,acpXL,LPS (CVF383) 
168,VFG011439,NP_540129,phosphatidylglycerophosphatase B ,Brucella melitensis bv. 1 str. 16M,lpxE,LPS (CVF383) 
169,VFG011444,NP_539915,glycosyltransferase ,Brucella melitensis bv. 1 str. 16M,wboA,LPS (CVF383) 
170,VFG011453,NP_540310,mannosyltransferase C ,Brucella melitensis bv. 1 str. 16M,wbpZ,LPS (CVF383) 
171,VFG011505,NP_540243,glycosyltransferase ,Brucella melitensis bv. 1 str. 16M,lpsA,LPS (CVF383) 
172,VFG011510,NP_539426,Lipopolysaccharide core biosynthesis mannosyltransferase LpcC ,Brucella melitensis bv. 1 str. 16M,lpsB/lpcC,LPS (CVF383) 
173,VFG011515,NP_539914,mannosyltransferase ,Brucella melitensis bv. 1 str. 16M,wbdA,LPS (CVF383) 
174,VFG011519,NP_540343,undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase ,Brucella melitensis bv. 1 str. 16M,wbpL,LPS (CVF383) 
175,VFG041369,NP_541013,type IV secretion system protein VirB12 ,Brucella melitensis bv. 1 str. 16M,virB12,VirB (SS043) 
176,VFG045340,NP_539653,Rab2 interacting conserved protein A ,Brucella melitensis bv. 1 str. 16M,ricA,RicA (VF0414) 
177,VFG045465,NP_540591,Tir domain containing protein BtpA ,Brucella melitensis bv. 1 str. 16M,btpA,BtpA/Btp1/TcpB (VF0412) 
178,VFG045466,NP_697749,Tir domain containing protein BtpB ,Brucella suis 1330,btpB,BtpB (VF0522) 
179,VFG002424,YP_111499,YadA family of bacterial autotransporter mediating actin tail formation ,Burkholderia pseudomallei K96243,bimA,BimA (VF0427) 
180,VFG002425,YP_107407,type IV fimbrial pilin protein ,Burkholderia pseudomallei K96243,pilA,Type IV pili (VF0431) 
181,VFG002426,YP_109603,type IV pilus assembly protein ,Burkholderia pseudomallei K96243,pilB,Type IV pili (VF0431) 
182,VFG002427,YP_109604,type IV pilus assembly protein PilC ,Burkholderia pseudomallei K96243,pilC,Type IV pili (VF0431) 
183,VFG002428,YP_109605,type IV prepilin leader peptide type M1 ,Burkholderia pseudomallei K96243,pilD,Type IV pili (VF0431) 
184,VFG002429,YP_111601,type IV pilus biogenesis protein PilV ,Burkholderia pseudomallei K96243,pilV,Type IV pili (VF0431) 
185,VFG002430,YP_111603,major pilin subunit ,Burkholderia pseudomallei K96243,pilS,Type IV pili (VF0431) 
186,VFG002431,YP_111604,type IV pilus biosynthesis protein PilR ,Burkholderia pseudomallei K96243,pilR,Type IV pili (VF0431) 
187,VFG002432,YP_111605,type IV pilus biosynthesis protein ,Burkholderia pseudomallei K96243,pilQ,Type IV pili (VF0431) 
188,VFG002433,YP_111607,type IV pilus inner membrane platform protein PilO ,Burkholderia pseudomallei K96243,pilO,Type IV pili (VF0431) 
189,VFG002434,YP_111608,type IV pilus inner membrane platform protein PilN ,Burkholderia pseudomallei K96243,pilN,Type IV pili (VF0431) 
190,VFG002435,YP_111610,twitching motility protein ,Burkholderia pseudomallei K96243,pilT,Type IV pili (VF0431) 
191,VFG002436,YP_110805,"surface-exposed protein, autotransporter ",Burkholderia pseudomallei K96243,boaA,BoaA (VF0434) 
192,VFG002437,YP_108306,autotransporter protein ,Burkholderia pseudomallei K96243,boaB,BoaB (VF0435) 
193,VFG002438,YP_111526,"AraC family transcriptional regulator, regulates basal T6SS1 expression ",Burkholderia pseudomallei K96243,bprC,Bsa T3SS (VF0428) 
194,VFG002439,YP_111527,Type III secretion system secreted protein BprD ,Burkholderia pseudomallei K96243,bprD,Bsa T3SS (VF0428) 
195,VFG002440,YP_111528,two-component response regulator ,Burkholderia pseudomallei K96243,bprB,Bsa T3SS (VF0428) 
196,VFG002441,YP_111529,chaperone ,Burkholderia pseudomallei K96243,bicP,Bsa T3SS (VF0428) 
197,VFG002442,YP_111530,putative Type III secretion system effector BopA ,Burkholderia pseudomallei K96243,bopA,Bsa T3SS (VF0428) 
198,VFG002443,YP_111531,"Type III secretion system secreted effector, G-nucleotide exchange factor ",Burkholderia pseudomallei K96243,bopE,Bsa T3SS (VF0428) 
199,VFG002444,YP_111532,invasion protein ,Burkholderia pseudomallei K96243,bapC,Bsa T3SS (VF0428) 
200,VFG002445,YP_111533,acyl carrier protein ,Burkholderia pseudomallei K96243,bapB,Bsa T3SS (VF0428) 
201,VFG002446,YP_111534,Type III secretion system secreted protein BapA ,Burkholderia pseudomallei K96243,bapA,Bsa T3SS (VF0428) 
